scientific_name,iucn_class,iucn_category,raw,consensus_score,gen,log_gen,taxon,iucn_rli,is_extinct
Panthera tigris,MAMMALIA,EN,7-10,54.0,8.5,0.9294189257142927,포유류,3,False
Ursus maritimus,MAMMALIA,VU,12,14.5,12.0,1.0791812460476249,포유류,2,False
Rhinoceros sondaicus,MAMMALIA,CR,12,78.0,12.0,1.0791812460476249,포유류,4,False
Gorilla beringei graueri,MAMMALIA,CR,20,48.7,20.0,1.3010299956639813,포유류,4,False
Phocoena sinus,MAMMALIA,CR,10,100.0,10.0,1.0,포유류,4,False
Grus japonensis,AVES,VU,15.9,54.8,15.9,1.2013971243204515,조류,2,False
Raphus cucullatus,AVES,EX,3.83,100.0,3.83,0.5831987739686227,조류,5,True
Ectopistes migratorius,AVES,EX,5.3,100.0,5.3,0.724275869600789,조류,5,True
Antilophia bokermanni,AVES,CR,4.4,67.7,4.4,0.6434526764861874,조류,4,False
Pseudobulweria aterrima,AVES,CR,17.7,78.5,17.7,1.2479732663618066,조류,4,False
Dobsonia chapmani,MAMMALIA,CR,6,90.0,6.0,0.7781512503836436,포유류,4,False
Acinonyx jubatus venaticus,MAMMALIA,VU,4.9,45.0,4.9,0.6901960800285137,포유류,2,False
Gymnobelideus leadbeateri,MAMMALIA,CR,6,50.6,6.0,0.7781512503836436,포유류,4,False
Eutrichomyias rowleyi,AVES,CR,4.2,84.3,4.2,0.6232492903979004,조류,4,False
Acipenser sturio,ACTINOPTERYGII,CR,"52-80,66",90.0,4059.0,3.6084190513172856,어류,4,False
Crocodylus intermedius,REPTILIA,CR,25,76.9,25.0,1.3979400086720377,파충류,4,False
Mammillaria marcosii,MAGNOLIOPSIDA,CR,5-10,79.0,7.5,0.8750612633917001,무척추/식물/기타,4,False
Cuora yunnanensis,REPTILIA,CR,20,90.3,20.0,1.3010299956639813,파충류,4,False
Nomascus concolor,MAMMALIA,CR,15,50.8,15.0,1.1760912590556813,포유류,4,False
Lepidochelys kempii,REPTILIA,CR,18,15.1,18.0,1.255272505103306,파충류,4,False
Crocodylus mindorensis,REPTILIA,CR,25,81.1,25.0,1.3979400086720377,파충류,4,False
Aphrastura masafuerae,AVES,CR,2.27,70.0,2.27,0.35602585719312274,조류,4,False
Sarothrura ayresi,AVES,CR,3.1,79.0,3.1,0.4913616938342727,조류,4,False
Anthochaera phrygia,AVES,CR,5.8,67.6,5.8,0.7634279935629372,조류,4,False
Mecistops cataphractus,REPTILIA,CR,25,40.5,25.0,1.3979400086720377,파충류,4,False
Otus insularis,AVES,CR,2.83,74.5,2.83,0.45178643552429026,조류,4,False
Vanellus gregarius,AVES,CR,4.5,93.2,4.5,0.6532125137753437,조류,4,False
Rhizanthella gardneri,LILIOPSIDA,CR,9,93.6,9.0,0.9542425094393249,무척추/식물/기타,4,False
Cyornis banyumas,AVES,CR,2.62,67.3,2.62,0.41830129131974547,조류,4,False
Microcycas calocoma,CYCADOPSIDA,CR,20-25,79.4,22.5,1.3521825181113625,무척추/식물/기타,4,False
Didunculus strigirostris,AVES,CR,5.95,82.1,5.95,0.7745169657285496,조류,4,False
Abies beshanzuensis,PINOPSIDA,CR,50,94.6,50.0,1.6989700043360187,무척추/식물/기타,4,False
Haptanthus hazlettii,MAGNOLIOPSIDA,CR,10,77.3,10.0,1.0,무척추/식물/기타,4,False
