scientific_name,taxon,iucn_class,iucn_category,iucn_score,gen,is_single
Panthera tigris,포유류,MAMMALIA,EN,3,8.5,False
Ursus maritimus,포유류,MAMMALIA,VU,2,12.0,True
Rhinoceros sondaicus,포유류,MAMMALIA,CR,4,12.0,True
Gorilla beringei graueri,포유류,MAMMALIA,CR,4,20.0,True
Phocoena sinus,포유류,MAMMALIA,CR,4,10.0,True
Rhincodon typus,어류,CHONDRICHTHYES,EN,3,40.0,True
Grus japonensis,조류,AVES,VU,2,15.9,True
Raphus cucullatus,조류,AVES,EX,5,3.83,True
Ectopistes migratorius,조류,AVES,EX,5,5.3,True
Antilophia bokermanni,조류,AVES,CR,4,4.4,True
Pseudobulweria aterrima,조류,AVES,CR,4,17.7,True
Dobsonia chapmani,포유류,MAMMALIA,CR,4,6.0,True
Uromys boeadii,포유류,MAMMALIA,CR,4,1.75,True
Acinonyx jubatus venaticus,포유류,MAMMALIA,VU,2,4.9,True
Gymnobelideus leadbeateri,포유류,MAMMALIA,CR,4,6.0,True
Eutrichomyias rowleyi,조류,AVES,CR,4,4.2,True
Acipenser sturio,어류,ACTINOPTERYGII,CR,4,4059.0,False
Pygmaeocereus bylesianus,무척추/식물/기타,MAGNOLIOPSIDA,CR,4,15.0,True
Crocodylus intermedius,파충류,REPTILIA,CR,4,25.0,True
Mammillaria marcosii,무척추/식물/기타,MAGNOLIOPSIDA,CR,4,7.5,False
Gyps africanus,조류,AVES,CR,4,13.22,True
Cuora yunnanensis,파충류,REPTILIA,CR,4,20.0,True
Parodia buiningii,무척추/식물/기타,MAGNOLIOPSIDA,CR,4,10.0,True
Manis javanica,포유류,MAMMALIA,CR,4,7.0,True
Sphyrna corona,어류,CHONDRICHTHYES,CR,4,8.0,True
Cottus petiti,어류,ACTINOPTERYGII,CR,4,1.0,True
Nomascus concolor,포유류,MAMMALIA,CR,4,15.0,True
Lepidochelys kempii,파충류,REPTILIA,CR,4,18.0,True
Alosa alosa,어류,ACTINOPTERYGII,CR,4,7.0,True
Macaca nigra,포유류,MAMMALIA,CR,4,11.0,True
Crocodylus mindorensis,파충류,REPTILIA,CR,4,25.0,True
Cyprinodon diabolis,어류,ACTINOPTERYGII,CR,4,1.0,True
Rhynchobatus djiddensis,어류,CHONDRICHTHYES,CR,4,15.0,True
Cycas collina,무척추/식물/기타,CYCADOPSIDA,CR,4,40.0,True
Aphrastura masafuerae,조류,AVES,CR,4,2.27,True
Heosemys annandalii,파충류,REPTILIA,CR,4,37.0,True
Sarothrura ayresi,조류,AVES,CR,4,3.1,True
Kinixys homeana,파충류,REPTILIA,CR,4,15.0,True
Litoria castanea,양서류,AMPHIBIA,CR,4,4.5,True
Anthochaera phrygia,조류,AVES,CR,4,5.8,True
Mecistops cataphractus,파충류,REPTILIA,CR,4,25.0,True
Otus insularis,조류,AVES,CR,4,2.83,True
Cyclanorbis elegans,파충류,REPTILIA,CR,4,25.0,True
Vanellus gregarius,조류,AVES,CR,4,4.5,True
Nilssonia leithii,파충류,REPTILIA,CR,4,22.5,False
Rhizanthella gardneri,무척추/식물/기타,LILIOPSIDA,CR,4,9.0,True
Mammillaria herrerae,무척추/식물/기타,MAGNOLIOPSIDA,CR,4,7.5,False
Cyornis banyumas,조류,AVES,CR,4,2.62,True
Microcycas calocoma,무척추/식물/기타,CYCADOPSIDA,CR,4,22.5,False
Pangasius sanitwongsei,어류,ACTINOPTERYGII,CR,4,10.0,True
Didunculus strigirostris,조류,AVES,CR,4,5.95,True
Nematogenys inermis,어류,ACTINOPTERYGII,CR,4,4.0,True
Haliotis rufescens,무척추/식물/기타,GASTROPODA,CR,4,14.0,True
Aloe pearsonii,무척추/식물/기타,LILIOPSIDA,CR,4,100.0,True
Aloe leandrii,무척추/식물/기타,LILIOPSIDA,CR,4,10.0,True
Ecnomiohyla rabborum,양서류,AMPHIBIA,CR,4,6.0,True
Abies beshanzuensis,무척추/식물/기타,PINOPSIDA,CR,4,50.0,True
Anoxypristis cuspidata,어류,CHONDRICHTHYES,CR,4,6.0,True
Probarbus jullieni,어류,ACTINOPTERYGII,CR,4,10.0,True
Haptanthus hazlettii,무척추/식물/기타,MAGNOLIOPSIDA,CR,4,10.0,True
Pristis zijsron,어류,CHONDRICHTHYES,CR,4,16.5,True
Eleutherodactylus amadeus,양서류,AMPHIBIA,CR,4,2.5,False
Mexipedium xerophyticum,무척추/식물/기타,LILIOPSIDA,CR,4,7.5,False
Diceros bicornis,포유류,MAMMALIA,CR,4,14.96,True
Calyptura cristata,조류,AVES,CR,4,2.19,True
