scientific_name,class_name,mass_effective,mass_source,log_mass_g,iucn_category,iucn_score,measured_population,population_source
Panthera tigris,포유류,162564.0,PHYLACINE(backfill),5.211024376852319,EN,3,3140.0,mature_individuals
Ailuropoda melanoleuca,포유류,108400.0,PHYLACINE(backfill),5.035029282202368,VU,2,1864.0,mature_individuals
Ursus maritimus,포유류,388750.4,PHYLACINE(backfill),5.589670848897153,VU,2,26000.0,mature_individuals
Rhinoceros sondaicus,포유류,2000000.0,PHYLACINE,6.301029995663981,CR,4,76.0,mature_individuals
Gorilla beringei graueri,포유류,130000.0,PHYLACINE(backfill),5.113943352306837,CR,4,3800.0,mature_individuals
Phocoena sinus,포유류,50000.0,PHYLACINE,4.698970004336019,CR,4,10.0,mature_individuals
Grus japonensis,조류,8786.0,AVONET,3.9437911989293015,VU,2,1830.0,mature_individuals
Lipotes vexillifer,포유류,83500.0,PHYLACINE(backfill),4.921686475483602,CR,4,,iucn_population_size
Antilophia bokermanni,조류,19.8,AVONET,1.2966651902615312,CR,4,425.0,iucn_population_size
Pseudobulweria aterrima,조류,232.0,AVONET,2.3654879848909,CR,4,150.0,iucn_population_size
Dobsonia chapmani,포유류,134.0,PHYLACINE(backfill),2.1271047983648077,CR,4,45.0,iucn_population_size
Acinonyx jubatus venaticus,포유류,46700.0,PHYLACINE(backfill),4.669316880566112,VU,2,6517.0,iucn_population_size
Gymnobelideus leadbeateri,포유류,127.0,PHYLACINE(backfill),2.103803720955957,CR,4,2500.0,iucn_population_size
Eutrichomyias rowleyi,조류,19.0,AVONET,1.2787536009528289,CR,4,60.0,iucn_population_size
Bunolagus monticularis,포유류,1750.0,PHYLACINE(backfill),3.2430380486862944,CR,4,182.0,iucn_population_size
Santamartamys rufodorsalis,포유류,144.8,PHYLACINE(backfill),2.1607685618611283,CR,4,25.0,iucn_population_size
Rhinopithecus brelichi,포유류,11500.0,PHYLACINE(backfill),4.060697840353612,CR,4,200.0,iucn_population_size
Nomascus concolor,포유류,7500.0,PHYLACINE(backfill),3.8750612633917,CR,4,1500.0,iucn_population_size
