scientific_name,iucn_class,taxon_group,iucn_category,iucn_score
Panthera tigris,MAMMALIA,포유류,EN,3
Ailuropoda melanoleuca,MAMMALIA,포유류,VU,2
Ursus maritimus,MAMMALIA,포유류,VU,2
Rhinoceros sondaicus,MAMMALIA,포유류,CR,4
Gorilla beringei graueri,MAMMALIA,포유류,CR,4
Phocoena sinus,MAMMALIA,포유류,CR,4
Rhincodon typus,CHONDRICHTHYES,어류,EN,3
Grus japonensis,AVES,조류,VU,2
Raphus cucullatus,AVES,조류,EX,5
Thylacinus cynocephalus,MAMMALIA,포유류,EX,5
Ectopistes migratorius,AVES,조류,EX,5
Lipotes vexillifer,MAMMALIA,포유류,CR,4
Atelopus oxyrhynchus,AMPHIBIA,양서류,CR,4
Antilophia bokermanni,AVES,조류,CR,4
Pseudobulweria aterrima,AVES,조류,CR,4
Dobsonia chapmani,MAMMALIA,포유류,CR,4
Uromys boeadii,MAMMALIA,포유류,CR,4
Acinonyx jubatus venaticus,MAMMALIA,포유류,VU,2
Gymnobelideus leadbeateri,MAMMALIA,포유류,CR,4
Eutrichomyias rowleyi,AVES,조류,CR,4
Acipenser sturio,ACTINOPTERYGII,어류,CR,4
Bunolagus monticularis,MAMMALIA,포유류,CR,4
Holoaden bradei,AMPHIBIA,양서류,CR,4
Aloe dorotheae,LILIOPSIDA,식물,CR,4
Rosselia bracteata,MAGNOLIOPSIDA,식물,CR,4
Pygmaeocereus bylesianus,MAGNOLIOPSIDA,식물,CR,4
Gobio hettitorum,ACTINOPTERYGII,어류,CR,4
Cheirolophus crassifolius,MAGNOLIOPSIDA,식물,CR,4
Santamartamys rufodorsalis,MAMMALIA,포유류,CR,4
Alstonia penangiana,MAGNOLIOPSIDA,식물,CR,4
Epalzeorhynchos bicolor,ACTINOPTERYGII,어류,CR,4
Clupeonella abrau,ACTINOPTERYGII,어류,CR,4
Eriosyce chilensis,MAGNOLIOPSIDA,식물,CR,4
Crocodylus intermedius,REPTILIA,파충류,CR,4
Mammillaria marcosii,MAGNOLIOPSIDA,식물,CR,4
Mammillaria pennispinosa,MAGNOLIOPSIDA,식물,CR,4
Gyps africanus,AVES,조류,CR,4
Cuora yunnanensis,REPTILIA,파충류,CR,4
Trachycystis placenta,GASTROPODA,무척추,CR,4
Agrotis fasciata,INSECTA,무척추,CR,4
Parodia buiningii,MAGNOLIOPSIDA,식물,CR,4
Coregonus trybomi,ACTINOPTERYGII,어류,EX,5
Manis javanica,MAMMALIA,포유류,CR,4
Cyprinus micristius,ACTINOPTERYGII,어류,CR,4
Cyprinella bocagrande,ACTINOPTERYGII,어류,CR,4
Bulbophyllum sanguineum,LILIOPSIDA,식물,CR,4
Rhinopithecus brelichi,MAMMALIA,포유류,CR,4
Sphyrna corona,CHONDRICHTHYES,어류,CR,4
Dermatemys mawii,REPTILIA,파충류,CR,4
Caecocypris basimi,ACTINOPTERYGII,어류,CR,4
Sideroxylon hirtiantherum,MAGNOLIOPSIDA,식물,CR,4
