scientific_name,iucn_class,taxon,iucn_category,iucn_rli,consensus_score,lw5,intervention_tier,diff,is_extinct,pop_source,iucn_trend,ews,pva,iucn_layer,primary_driver,confidence
Panthera tigris,MAMMALIA,포유류,EN,3,54.0,2.7,T2,-0.2999999999999998,False,mature_individuals,Decreasing,88.07970779778823,41.51,55,EWS 신호,0.6
Ailuropoda melanoleuca,MAMMALIA,포유류,VU,2,0.4,0.02,T0,-1.98,False,mature_individuals,Increasing,11.920292202211755,0.0,55,IUCN/유전 임계값,0.6
Ursus maritimus,MAMMALIA,포유류,VU,2,14.5,0.725,T0,-1.275,False,mature_individuals,Stable,50.0,0.02333333333333333,10,EWS 신호,0.6
Rhinoceros sondaicus,MAMMALIA,포유류,CR,4,78.0,3.9,T3,-0.10000000000000009,False,mature_individuals,Stable,50.0,37.0,95,IUCN/유전 임계값,0.6
Gorilla beringei graueri,MAMMALIA,포유류,CR,4,48.7,2.435,T2,-1.565,False,mature_individuals,Decreasing,88.07970779778823,41.53333333333333,30,EWS 신호,0.6
Phocoena sinus,MAMMALIA,포유류,CR,4,100.0,5.0,T4,1.0,False,mature_individuals,Decreasing,88.07970779778823,96.00000000000001,95,PVA 시뮬레이션,0.6
Grus japonensis,AVES,조류,VU,2,54.8,2.7399999999999998,T2,0.7399999999999998,False,mature_individuals,Decreasing,88.07970779778823,43.55,55,EWS 신호,0.6
Raphus cucullatus,AVES,조류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Thylacinus cynocephalus,MAMMALIA,포유류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Ectopistes migratorius,AVES,조류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Lipotes vexillifer,MAMMALIA,포유류,CR,4,100.0,5.0,EX,1.0,False,none/extinct,Decreasing,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Atelopus oxyrhynchus,AMPHIBIA,양서류,CR,4,90.6,4.529999999999999,T4,0.5299999999999994,False,iucn_population_size,Decreasing,88.07970779778823,89.79,95,IUCN/유전 임계값,0.6
Antilophia bokermanni,AVES,조류,CR,4,67.7,3.3850000000000002,T3,-0.6149999999999998,False,iucn_population_size,Decreasing,88.07970779778823,47.346666666666664,80,EWS 신호,0.6
Pseudobulweria aterrima,AVES,조류,CR,4,78.5,3.925,T3,-0.07500000000000018,False,iucn_population_size,Decreasing,88.07970779778823,63.00333333333332,95,IUCN/유전 임계값,0.6
Dobsonia chapmani,MAMMALIA,포유류,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Decreasing,88.07970779778823,79.37666666666668,95,IUCN/유전 임계값,0.6
Acinonyx jubatus venaticus,MAMMALIA,포유류,VU,2,45.0,2.25,T2,0.25,False,iucn_population_size,Decreasing,88.07970779778823,42.22333333333333,30,EWS 신호,0.6
Gymnobelideus leadbeateri,MAMMALIA,포유류,CR,4,50.6,2.5300000000000002,T2,-1.4699999999999998,False,iucn_population_size,Decreasing,88.07970779778823,42.93666666666667,55,EWS 신호,0.6
Eutrichomyias rowleyi,AVES,조류,CR,4,84.3,4.215,T4,0.21499999999999986,False,iucn_population_size,Decreasing,88.07970779778823,75.94666666666666,95,IUCN/유전 임계값,0.6
Acipenser sturio,ACTINOPTERYGII,어류,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Decreasing,88.07970779778823,84.55666666666667,95,IUCN/유전 임계값,0.6
Bunolagus monticularis,MAMMALIA,포유류,CR,4,77.3,3.8649999999999998,T3,-0.13500000000000023,False,iucn_population_size,Decreasing,88.07970779778823,60.24333333333334,95,IUCN/유전 임계값,0.6
Holoaden bradei,AMPHIBIA,양서류,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Unknown,66.07563687658173,85.89666666666666,95,IUCN/유전 임계값,0.6
Santamartamys rufodorsalis,MAMMALIA,포유류,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Unknown,66.07563687658173,85.65666666666665,95,IUCN/유전 임계값,0.6
Crocodylus intermedius,REPTILIA,파충류,CR,4,76.9,3.845,T3,-0.1549999999999998,False,iucn_population_size,Decreasing,88.07970779778823,59.29666666666667,95,IUCN/유전 임계값,0.6
Mammillaria marcosii,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,79.0,3.95,T3,-0.04999999999999982,False,iucn_population_size,Decreasing,88.07970779778823,64.11333333333333,95,IUCN/유전 임계값,0.6
Mammillaria pennispinosa,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,50.9,2.545,T2,-1.455,False,iucn_population_size,Decreasing,88.07970779778823,43.903333333333336,55,EWS 신호,0.6
Cuora yunnanensis,REPTILIA,파충류,CR,4,90.3,4.515,T4,0.5149999999999997,False,iucn_population_size,Decreasing,88.07970779778823,89.22666666666666,95,IUCN/유전 임계값,0.6
Rhinopithecus brelichi,MAMMALIA,포유류,CR,4,76.1,3.8049999999999997,T3,-0.19500000000000028,False,iucn_population_size,Decreasing,88.07970779778823,57.50666666666666,95,IUCN/유전 임계값,0.6
Plectrohyla pachyderma,,무척추/식물/기타,CR,4,90.6,4.529999999999999,T4,0.5299999999999994,False,iucn_population_size,Decreasing,88.07970779778823,89.88666666666666,95,IUCN/유전 임계값,0.6
Radula visianica,JUNGERMANNIOPSIDA,무척추/식물/기타,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Stable,50.0,80.23333333333332,95,IUCN/유전 임계값,0.6
Nomascus concolor,MAMMALIA,포유류,CR,4,50.8,2.54,T2,-1.46,False,iucn_population_size,Decreasing,88.07970779778823,43.553333333333335,55,EWS 신호,0.6
Lepidochelys kempii,REPTILIA,파충류,CR,4,15.1,0.755,T0,-3.245,False,iucn_population_size,Unknown,66.07563687658173,6.356666666666666,10,EWS 신호,0.6
Weberocereus frohningiorum,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Unknown,66.07563687658173,65.89333333333333,95,IUCN/유전 임계값,0.6
Crocodylus mindorensis,REPTILIA,파충류,CR,4,81.1,4.055,T4,0.054999999999999716,False,iucn_population_size,Decreasing,88.07970779778823,68.67666666666668,95,IUCN/유전 임계값,0.6
Aphrastura masafuerae,AVES,조류,CR,4,70.0,3.5,T3,-0.5,False,iucn_population_size,Stable,50.0,8.05,95,IUCN/유전 임계값,0.6
Sarothrura ayresi,AVES,조류,CR,4,79.0,3.95,T3,-0.04999999999999982,False,iucn_population_size,Decreasing,88.07970779778823,64.16333333333333,95,IUCN/유전 임계값,0.6
Anthochaera phrygia,AVES,조류,CR,4,67.6,3.38,T3,-0.6200000000000001,False,iucn_population_size,Decreasing,88.07970779778823,47.10666666666666,80,EWS 신호,0.6
Mecistops cataphractus,REPTILIA,파충류,CR,4,40.5,2.025,T2,-1.975,False,iucn_population_size,Decreasing,88.07970779778823,41.599999999999994,10,EWS 신호,0.6
Otus insularis,AVES,조류,CR,4,74.5,3.725,T3,-0.2749999999999999,False,iucn_population_size,Decreasing,88.07970779778823,54.02333333333333,95,IUCN/유전 임계값,0.6
Vanellus gregarius,AVES,조류,CR,4,93.2,4.66,T4,0.6600000000000001,False,iucn_population_size,Decreasing,88.07970779778823,95.60000000000001,95,PVA 시뮬레이션,0.6
Auerodendron pauciflorum,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Unknown,66.07563687658173,89.40333333333334,95,IUCN/유전 임계값,0.6
Rhizanthella gardneri,LILIOPSIDA,무척추/식물/기타,CR,4,93.6,4.68,T4,0.6799999999999997,False,iucn_population_size,Decreasing,88.07970779778823,96.4,95,PVA 시뮬레이션,0.6
Turbinicarpus laui,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,44.9,2.245,T2,-1.755,False,iucn_population_size,Decreasing,88.07970779778823,41.946666666666665,30,EWS 신호,0.6
Cyornis banyumas,AVES,조류,CR,4,67.3,3.3649999999999998,T3,-0.6350000000000002,False,iucn_population_size,Decreasing,88.07970779778823,46.39333333333333,80,EWS 신호,0.6
Microcycas calocoma,CYCADOPSIDA,무척추/식물/기타,CR,4,79.4,3.97,T3,-0.029999999999999805,False,iucn_population_size,Decreasing,88.07970779778823,64.93333333333334,95,IUCN/유전 임계값,0.6
Didunculus strigirostris,AVES,조류,CR,4,82.1,4.1049999999999995,T4,0.10499999999999954,False,iucn_population_size,Decreasing,88.07970779778823,71.02666666666666,95,IUCN/유전 임계값,0.6
Byblis gigantea,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,17.3,0.865,T0,-3.135,False,iucn_population_size,Stable,50.0,0.30333333333333334,55,IUCN/유전 임계값,0.6
Pharotis imogene,MAMMALIA,포유류,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Stable,50.0,56.790000000000006,95,IUCN/유전 임계값,0.6
Tahina spectabilis,LILIOPSIDA,무척추/식물/기타,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Unknown,66.07563687658173,82.13,95,IUCN/유전 임계값,0.6
Mammillaria albiflora,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,45.0,2.25,T2,-1.75,False,iucn_population_size,Decreasing,88.07970779778823,42.25,30,EWS 신호,0.6
Pteropus aruensis,MAMMALIA,포유류,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Unknown,66.07563687658173,85.71666666666667,95,IUCN/유전 임계값,0.6
Phoboscincus bocourti,REPTILIA,파충류,CR,4,84.6,4.2299999999999995,T4,0.22999999999999954,False,iucn_population_size,Decreasing,88.07970779778823,76.41666666666667,95,IUCN/유전 임계값,0.6
Pristimantis xylochobates,AMPHIBIA,양서류,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Unknown,66.07563687658173,86.12666666666668,95,IUCN/유전 임계값,0.6
Turbinicarpus swobodae,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,50.5,2.525,T2,-1.475,False,iucn_population_size,Decreasing,88.07970779778823,42.86333333333333,55,EWS 신호,0.6
Plecotus teneriffae,MAMMALIA,포유류,CR,4,50.6,2.5300000000000002,T2,-1.4699999999999998,False,iucn_population_size,Decreasing,88.07970779778823,43.01,55,EWS 신호,0.6
Adansonia perrieri,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,75.9,3.7950000000000004,T3,-0.20499999999999963,False,iucn_population_size,Decreasing,88.07970779778823,57.266666666666666,95,IUCN/유전 임계값,0.6
Mellissia begoniifolia,,무척추/식물/기타,CR,4,94.8,4.74,T4,0.7400000000000002,False,iucn_population_size,Decreasing,88.07970779778823,99.2,95,PVA 시뮬레이션,0.6
Abies beshanzuensis,PINOPSIDA,무척추/식물/기타,CR,4,94.6,4.7299999999999995,T4,0.7299999999999995,False,iucn_population_size,Decreasing,88.07970779778823,98.8,95,PVA 시뮬레이션,0.6
Wikstroemia villosa,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Decreasing,88.07970779778823,77.69333333333334,95,IUCN/유전 임계값,0.6
Haptanthus hazlettii,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,77.3,3.8649999999999998,T3,-0.13500000000000023,False,iucn_population_size,Decreasing,88.07970779778823,60.309999999999995,95,IUCN/유전 임계값,0.6
Nepenthes attenboroughii,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,60.0,3.0,T3,-1.0,False,iucn_population_size,Unknown,66.07563687658173,13.719999999999999,80,IUCN/유전 임계값,0.6
Mexipedium xerophyticum,LILIOPSIDA,무척추/식물/기타,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Decreasing,88.07970779778823,88.58333333333333,95,IUCN/유전 임계값,0.6
Uromys porculus,MAMMALIA,포유류,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Unknown,66.07563687658173,98.8,95,PVA 시뮬레이션,0.6
Phalanger matanim,MAMMALIA,포유류,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Unknown,66.07563687658173,73.73666666666668,95,IUCN/유전 임계값,0.6
