scientific_name,class_name,iucn_category,mature_individuals,iucn_population_size,iucn_criteria
"Abies ziyuanensis",(null),EN,,1110,"B1ab(iii); C2a(i)"
"Accipiter brachyurus",(null),VU,,6249,C2a(ii)
"Accipiter butleri",(null),VU,,1500,"B1ab(ii,iii,iv)+2ab(ii,iii,iv)"
"Accipiter gundlachi",(null),EN,,750,C2a(ii)
"Accipiter henstii",(null),VU,,749,"C2a(i); D1"
"Accipiter luteoschistaceus",(null),VU,,1749,C2a(i)
"Accipiter princeps",(null),VU,,6249,C2a(ii)
"Acer griseum",(null),EN,,235,"B2ab(iv,v); C2a(i); D"
"Achyranthes mutica",(null),EN,,140,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); D"
"Adansonia perrieri",(null),CR,,201,C2a(i)
"Aloe bellatula",(null),CR,,0,"C2a(i,ii); D"
"Aloe cremnophila",(null),EN,,240,D
"Aloe helenae",(null),EN,,350,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C2a(i); D"
"Aloe suzannae",(null),EN,,600,"B2ab(i,ii,iii,v)"
"Aloe ukambensis",(null),VU,,6249,"B2ab(ii,v); C2a(i)"
"Amazona vinacea",(null),EN,,1749,C2a(i)
"Amentotaxus formosana",(null),EN,,500,"B1ab(iii,v)+2ab(iii,v); C1"
"Anas bernieri",(null),EN,,1265,C2a(ii)
"Anthemis glaberrima",(null),EN,,28805,B1ab(iii)+2ab(iii)
"Aratinga solstitialis",(null),EN,,1749,C2a(ii)
"Ariocarpus scaphirostris",(null),EN,,25000,"B1ab(iii,v)+2ab(iii,v)"
"Astrophytum asterias",(null),VU,,5000,"B1ab(ii,iii,v)"
"Auerodendron pauciflorum",(null),CR,,21,"B1ab(i,iii,iv,v); C2a(i,ii); D"
"Beccariophoenix alfredii",(null),VU,,1000,D2
"Byblis gigantea",(null),CR,,3000,"B1b(i,iii,iv,v)c(iv)"
"Conolophus pallidus",(null),VU,,3750,"A1ce; D2"
"Copsychus sechellarum",(null),EN,,190,D
"Ctenosaura melanosterna",(null),EN,,3750,"B1ab(i,ii,iii,iv,v)"
"Ctenosaura oedirhina",(null),EN,,5560,B1ab(v)+2ab(v)
"Ctenosaura palearis",(null),EN,,2530,"A2acd; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)"
"Cuon alpinus",(null),EN,,1582,C2a(i)
"Cycas armstrongii",(null),VU,,100000,A4cde
"Cycas circinalis",(null),EN,,6450,A2cd+4cd
"Cynometra beddomei",(null),EN,,200,D
"Diomedea amsterdamensis",(null),EN,,92,D
"Dioon purpusii",(null),EN,,3130,B1ab(v)
"Echinocactus grusonii",(null),EN,,11000,B1ab(v)
"Echium gentianoides",(null),VU,,6797,D2
"Echium pininana",(null),EN,,13023,B2ac(iv)
"Elaeocarpus recurvatus",(null),EN,,4000,A2c
"Gallotia simonyi",(null),VU,,350,D1
"Garrulax rufifrons",(null),EN,,1500,C2a(i)
"Geothlypis beldingi",(null),VU,,1160,A2bc
"Goetzea elegans",(null),EN,,1700,"B1ab(i,iii,v); C2a(i)"
"Gomortega keule",(null),EN,,1030,"B2ab(i,ii,iii,iv,v); C2a(i)"
"Haptanthus hazlettii",(null),CR,,174,"B1ab(iii,v)+2ab(iii,v); C1+2a(ii)"
"Juniperus gracilior",(null),EN,,999,"B2ab(ii,iii,iv,v)"
"Lophophora diffusa",(null),VU,,3000,B1ab(v)+2ab(v)
"Mammillaria albiflora",(null),CR,,5000,"B1ab(iii,v)+2ab(iii,v)"
"Mammillaria anniana",(null),CR,,500,B1ab(v)
"Mammillaria marcosii",(null),CR,,150,"A2d+3d; B1ab(v)+2ab(v); C2a(ii)"
"Mammillaria mathildae",(null),EN,,493,"B2ab(i,ii,iii,v)"
"Mammillaria microhelia",(null),EN,,499,"B1ab(iii,v)"
"Mammillaria pennispinosa",(null),CR,,1250,B2ab(v)
"Mammillaria sanchez-mejoradae",(null),CR,,500,B1ab(v)+2ab(v)
"Mammillaria schwarzii",(null),CR,,999,"B1ab(iv,v)c(iv)"
"Mammillaria theresae",(null),CR,,200,B1ab(v)
"Melicope pallida",(null),CR,,307,"B1ab(i,ii,iii,iv,v)"
"Mellissia begoniifolia",(null),CR,,2,"B1ab(iii,iv,v)c(i,ii,iii,iv)+2ab(iii,iv,v)c(i,ii,iii,iv); C2a(i,ii)b; D"
"Melocactus lanssensianus",(null),EN,,2000,"B1ab(i,ii,iii)"
"Melocactus matanzanus",(null),EN,,200,"B1ab(iii,v); D"
"Mexipedium xerophyticum",(null),CR,,27,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); C1+2a(i,ii); D"
"Micranthocereus polyanthus",(null),EN,,1700,"A2c; B1ab(iii,v); C2a(i)"
"Nepenthes adnata",(null),EN,,200,D
"Nepenthes aristolochioides",(null),CR,,60,"A2a; B1ab(v); C2a(i)"
"Nepenthes attenboroughii",(null),CR,,400,B1ab(v)+2ab(v)
"Nepenthes campanulata",(null),VU,,5000,D2
"Nepenthes chaniana",(null),EN,,3000,B1ac(iv)+2ac(iv)
"Obregonia denegrii",(null),EN,,5000,"B1ab(iii,v)+2ab(iii,v)"
"Opuntia chaffeyi",(null),CR,,15,D
"Opuntia pachyrrhiza",(null),EN,,9999,"B1ab(iii,v)"
"Oreophasis derbianus",(null),EN,,1150,C2a(i)
"Ostrya rehderiana",(null),CR,,5,"B1ab(i,ii,v)+2ab(i,ii,v); C2a(i,ii); D"
"Oxyura leucocephala",(null),VU,,1300,C1+2a(i)
"Oxyura maccoa",(null),EN,,5250,A2acde
"Parasitaxus usta",(null),VU,,9999,"B1ab(iii,iv,v)+2ab(iii,iv,v); C2a(i)"
