scientific_name,db_class,gbif_kingdom,gbif_class,gbif_verdict
Abies ziyuanensis,(null),Plantae,Pinopsida,식물/균류(제외)
Accipiter brachyurus,(null),Animalia,Aves,재분류: db=None → 조류
Accipiter butleri,(null),Animalia,Aves,재분류: db=None → 조류
Accipiter gundlachi,(null),Animalia,Aves,재분류: db=None → 조류
Accipiter henstii,(null),Animalia,Aves,재분류: db=None → 조류
Accipiter luteoschistaceus,(null),Animalia,Aves,재분류: db=None → 조류
Accipiter princeps,(null),Animalia,Aves,재분류: db=None → 조류
Acer griseum,(null),Plantae,Magnoliopsida,식물/균류(제외)
Achyranthes mutica,(null),Plantae,Magnoliopsida,식물/균류(제외)
Adansonia perrieri,(null),Plantae,Magnoliopsida,식물/균류(제외)
Aloe bellatula,(null),Plantae,Liliopsida,식물/균류(제외)
Aloe cremnophila,(null),Plantae,Liliopsida,식물/균류(제외)
Aloe helenae,(null),Plantae,Liliopsida,식물/균류(제외)
Aloe suzannae,(null),Plantae,Liliopsida,식물/균류(제외)
Aloe ukambensis,(null),Plantae,Liliopsida,식물/균류(제외)
Amazona vinacea,(null),Animalia,Aves,재분류: db=None → 조류
Amentotaxus formosana,(null),Plantae,Pinopsida,식물/균류(제외)
Anas bernieri,(null),Animalia,Aves,재분류: db=None → 조류
Anthemis glaberrima,(null),Plantae,Magnoliopsida,식물/균류(제외)
Aratinga solstitialis,(null),Animalia,Aves,재분류: db=None → 조류
Ariocarpus scaphirostris,(null),Plantae,Magnoliopsida,식물/균류(제외)
Astrophytum asterias,(null),Plantae,Magnoliopsida,식물/균류(제외)
Auerodendron pauciflorum,(null),Plantae,Magnoliopsida,식물/균류(제외)
Beccariophoenix alfredii,(null),Plantae,Liliopsida,식물/균류(제외)
Byblis gigantea,(null),Plantae,Magnoliopsida,식물/균류(제외)
Conolophus pallidus,(null),Animalia,Squamata,재분류: db=None → 파충류
Copsychus sechellarum,(null),Animalia,Aves,재분류: db=None → 조류
Ctenosaura melanosterna,(null),Animalia,Squamata,재분류: db=None → 파충류
Ctenosaura oedirhina,(null),Animalia,Squamata,재분류: db=None → 파충류
Ctenosaura palearis,(null),Animalia,Squamata,재분류: db=None → 파충류
Cuon alpinus,(null),Animalia,Mammalia,재분류: db=None → 포유류
Cycas armstrongii,(null),Plantae,Cycadopsida,식물/균류(제외)
Cycas circinalis,(null),Plantae,Cycadopsida,식물/균류(제외)
Cynometra beddomei,(null),Plantae,Magnoliopsida,식물/균류(제외)
Diomedea amsterdamensis,(null),Animalia,Aves,재분류: db=None → 조류
Dioon purpusii,(null),Plantae,Cycadopsida,식물/균류(제외)
Echinocactus grusonii,(null),Plantae,Magnoliopsida,식물/균류(제외)
Echium gentianoides,(null),Plantae,Magnoliopsida,식물/균류(제외)
Echium pininana,(null),Plantae,Magnoliopsida,식물/균류(제외)
Elaeocarpus recurvatus,(null),Plantae,Magnoliopsida,식물/균류(제외)
Gallotia simonyi,(null),Animalia,Squamata,재분류: db=None → 파충류
Garrulax rufifrons,(null),Animalia,Aves,재분류: db=None → 조류
Geothlypis beldingi,(null),Animalia,Aves,재분류: db=None → 조류
Goetzea elegans,(null),Plantae,Magnoliopsida,식물/균류(제외)
Gomortega keule,(null),Plantae,Magnoliopsida,식물/균류(제외)
Haptanthus hazlettii,(null),Plantae,Magnoliopsida,식물/균류(제외)
Juniperus gracilior,(null),Plantae,Pinopsida,식물/균류(제외)
Lophophora diffusa,(null),Plantae,Magnoliopsida,식물/균류(제외)
Mammillaria albiflora,(null),Plantae,Magnoliopsida,식물/균류(제외)
Mammillaria anniana,(null),Plantae,Magnoliopsida,식물/균류(제외)
Mammillaria marcosii,(null),Plantae,Magnoliopsida,식물/균류(제외)
Mammillaria mathildae,(null),Plantae,Magnoliopsida,식물/균류(제외)
Mammillaria microhelia,(null),Plantae,Magnoliopsida,식물/균류(제외)
Mammillaria pennispinosa,(null),Plantae,Magnoliopsida,식물/균류(제외)
Mammillaria sanchez-mejoradae,(null),Plantae,Magnoliopsida,식물/균류(제외)
Mammillaria schwarzii,(null),Plantae,Magnoliopsida,식물/균류(제외)
Mammillaria theresae,(null),Plantae,Magnoliopsida,식물/균류(제외)
Melicope pallida,(null),Plantae,Magnoliopsida,식물/균류(제외)
Mellissia begoniifolia,(null),Plantae,Magnoliopsida,식물/균류(제외)
Melocactus lanssensianus,(null),Plantae,Magnoliopsida,식물/균류(제외)
Melocactus matanzanus,(null),Plantae,Magnoliopsida,식물/균류(제외)
Mexipedium xerophyticum,(null),Plantae,Liliopsida,식물/균류(제외)
Micranthocereus polyanthus,(null),Plantae,Magnoliopsida,식물/균류(제외)
Nepenthes adnata,(null),Plantae,Magnoliopsida,식물/균류(제외)
Nepenthes aristolochioides,(null),Plantae,Magnoliopsida,식물/균류(제외)
Nepenthes attenboroughii,(null),Plantae,Magnoliopsida,식물/균류(제외)
Nepenthes campanulata,(null),Plantae,Magnoliopsida,식물/균류(제외)
Nepenthes chaniana,(null),Plantae,Magnoliopsida,식물/균류(제외)
Obregonia denegrii,(null),Plantae,Magnoliopsida,식물/균류(제외)
Opuntia chaffeyi,(null),Plantae,Magnoliopsida,식물/균류(제외)
Opuntia pachyrrhiza,(null),Plantae,Magnoliopsida,식물/균류(제외)
Oreophasis derbianus,(null),Animalia,Aves,재분류: db=None → 조류
Ostrya rehderiana,(null),Plantae,Magnoliopsida,식물/균류(제외)
Oxyura leucocephala,(null),Animalia,Aves,재분류: db=None → 조류
Oxyura maccoa,(null),Animalia,Aves,재분류: db=None → 조류
Parasitaxus usta,(null),Plantae,Pinopsida,식물/균류(제외)
Pavo muticus,(null),Animalia,Aves,재분류: db=None → 조류
