변수,유형,순환성,n,지표,값,p_value,비고
mass_effective (log10),연속,독립,3090,Pearson r,0.2395,1.4541368181733793e-41,"ρ=+0.200(p=2.2e-29) R²=0.057 CI[0.21,0.27] 체중(외생)"
iucn_assessment_year,연속,독립,3738,Pearson r,-0.1191,2.7900608931300194e-13,"ρ=+0.079(p=1.5e-06) R²=0.014 CI[-0.15,-0.09] 평가연도(외생)"
iucn_population_size (log10),연속,순환,306,Pearson r,-0.7876,6.775934064383273e-66,"ρ=-0.817(p=9.4e-75) R²=0.620 CI[-0.83,-0.74] 성숙개체수(기준C/D)"
iucn_population_trend,순서형,순환,2297,Spearman ρ,0.6174,1.9394128702601336e-241,Increasing<Stable<Decreasing (기준A). Unknown 제외
class_name(분류군),범주형,독립,3232,η² (ANOVA),0.6107,0.0,"7개 분류군, Kruskal H=1029.6(p=3.5e-219)"
기준A 발동,이진,순환,978,point-biserial,-0.2003,2.608811410197381e-10,발동358종 등급평균2.43 vs 미발동2.90
기준B 발동,이진,순환,978,point-biserial,0.1913,1.6362252944090505e-09,발동493종 등급평균2.94 vs 미발동2.51
기준C 발동,이진,순환,978,point-biserial,0.1291,5.162089808391337e-05,발동103종 등급평균3.15 vs 미발동2.68
기준D 발동,이진,순환,978,point-biserial,0.0757,0.01782437520960692,발동132종 등급평균2.94 vs 미발동2.69
기준E 발동,이진,순환,978,point-biserial,,,한쪽<10 (발동 2/978)
possibly_extinct,이진,순환,3738,point-biserial,0.2361,1.695033929596131e-48,CR/EW와 거의 동어반복
